RowID,OMO,StatusOverride,WorkflowStatus,FieldOutcome,RefusalDate,NoAccessFirstAttemptAt,SecondAttemptAvailableAt,NoAccessSecondAttemptAt,VerifiedByOthersDate,ActualWorkStartDate,ActualWorkCompletionDate,WorkStartDateOverride,WorkCompletionDateOverride,ArchivedFromMap,UpdatedAt
"EQ17796|348 WEST 145 STREET, 10039||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ17785|63 HAMILTON TERRACE, 10031||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ13025|561 WEST 169 STREET, 10032||T",,No Access - 2nd Attempt,,,,,,,,,,,,,
"EQ15340|541 WEST 204 STREET, 10034||John Doe",,Work Completed,,,,,,,,,,2026-02-12,2026-02-12,,
"EQ15085|1711 EAST 15 STREET, 11229||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ15325|5532 NETHERLAND AVENUE, 10471||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ16619|278 EAST 237 STREET, 10470||John Doe",,Work Completed,,,,,,,,,,2026-02-17,2026-02-17,,
"EQ18006|806 EAST 233 STREET, 10466||T",,No Access - 1st Attempt,,,,,,,,,,,,,
"EQ17235|635 EAST 229 STREET, 10466||T",,No Access - 1st Attempt,,,,,,,,,,,,,
"EQ19652|2195 GRAND CONCOURSE, 10453||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ16715|2342 RYER AVENUE, 10458||John Doe",,Work Completed,,,,,,,,,,2026-02-21,2026-02-21,,
"EQ11988|2238 MORRIS AVENUE, 10453||T",,No Access - 2nd Attempt,,,,,,,,,,,,,
"EQ20253|103-24 121 STREET, 11419||T",,Pending,,,,,,,,,,,,,
EQ24130,EQ24130,No Access 1st - Waiting 72h,NO_ACCESS_1_WAITING_72H,NO_ACCESS_1_WAITING_72H,,2026-05-15T02:17:00.000Z,2026-05-18T02:17:00.000Z,,,,,,,false,2026-05-15T02:17:07.230Z
EQ27235,EQ27235,No Access 1st - Waiting 72h,NO_ACCESS_1_WAITING_72H,NO_ACCESS_1_WAITING_72H,,2026-05-14T13:02:00.000Z,2026-05-17T13:02:00.000Z,,,,,,,false,2026-05-15T13:02:10.746Z
EQ25386,EQ25386,,,,,,,,,,,,,true,2026-05-15T13:13:14.341Z
EQ24719,EQ24719,Work Completed,WORK_COMPLETED,WORK_COMPLETED,,,,,,,2026-05-14T16:13:00.000Z,,,false,2026-05-15T16:13:07.963Z
EQ24986,EQ24986,Work Completed,WORK_COMPLETED,WORK_COMPLETED,,,,,,,2026-05-14T16:13:00.000Z,,,false,2026-05-15T16:13:25.124Z
EQ23180,EQ23180,Work Completed,WORK_COMPLETED,WORK_COMPLETED,,,,,,,2026-04-18T16:17:00.000Z,,,false,2026-05-15T16:17:19.201Z
EQ26112,EQ26112,Work Completed,WORK_COMPLETED,WORK_COMPLETED,,,,,,,2026-05-15T18:16:00.000Z,,,false,2026-05-15T18:16:06.289Z
EP27061,EP27061,Work Completed,WORK_COMPLETED,Work Completed,,,,,,,,,,,"2026-06-26T16:15:57.731Z
"
EQ06061,EQ06061,No Access - 2nd Attempt,NO_ACCESS_2ND_ATTEMPT,No Access - 2nd Attempt,,,,,,,,,,true,"2026-06-26T17:57:30.670Z
"
