OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ14942","1091 WILLMOHR STREET, 11212","EQ14942_122625120621.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14942_122325041257.pdf","FILENAME_OMO_MATCH"
"EQ14942","1091 WILLMOHR STREET, 11212","EQ14942_122625120621.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14942_122325041257 (1).pdf","FILENAME_OMO_MATCH"
"EQ14942","1091 WILLMOHR STREET, 11212","EQ14942_122625120621.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14942_122625120621.pdf","FILENAME_OMO_MATCH"
"EQ14942","1091 WILLMOHR STREET, 11212","EQ14942_122625120621.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14942_122625120621 (1).pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14837_122225095048.pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14837_122425010138.pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14837_122225095048 (1).pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14837_122425010138 (1).pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14837_122625115333.pdf","FILENAME_OMO_MATCH"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14837_122625115333 (1).pdf","FILENAME_OMO_MATCH"
