OMO,Address,COAFile,RecoveredITBFile,RecoveredITBPath
"EQ14153","33 ARDEN STREET, 10040","EQ14153_121325084557.pdf","EQ14153_121125100446.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14153_121125100446.pdf"
"EQ14156","1170 GERARD AVENUE, 10452","EQ14156_121225042107.pdf","EQ14156_121025125336.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14156_121025125336.pdf"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","EQ14157_123025025906.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14157_123025025906.pdf"
"EQ14187","40 UNIVERSITY PLACE, 10003","EQ14187_121225125241.pdf","EQ14187_121025041850.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14187_121025041850.pdf"
"EQ14338","2763 MILL AVENUE, 11234","EQ14338_121225115539.pdf","EQ14338_121125092208.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14338_121125092208.pdf"
"EQ14351","234 WEST 135 STREET, 10030","EQ14351_121525122451.pdf","EQ14351_121125040049.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14351_121125040049.pdf"
"EQ14414","330 EAST 100 STREET, 10029","EQ14414_121325081600.pdf","EQ14414_121125020740.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14414_121125020740.pdf"
"EQ14427","1530 ST NICHOLAS AVENUE, 10033","EQ14427_121525030802.pdf","EQ14427_121225125233.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14427_121225125233.pdf"
"EQ14519","2265 OLINVILLE AVENUE, 10467","EQ14519_122725053606.pdf","EQ14519_122325040214.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14519_122325040214.pdf"
"EQ14614","86-02 FOREST PARKWAY, 11421","EQ14614_122625054516.pdf","EQ14614_122325042645.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14614_122325042645.pdf"
"EQ14625","1411 NEW YORK AVENUE, 11210","EQ14625_121525035951.pdf","EQ14625_121225025527.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14625_121225025527.pdf"
"EQ14837","345 BAY RIDGE PARKWAY, 11209","EQ14837_122625115333.pdf","EQ14837_122225095048.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14837_122225095048.pdf"
"EQ14942","1091 WILLMOHR STREET, 11212","EQ14942_122625120621.pdf","EQ14942_122325041257.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14942_122325041257.pdf"
"EQ14952","15 WESTMINSTER ROAD, 11218","EQ14952_122925034157.pdf","EQ14952_122625040732.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14952_122625040732.pdf"
"EQ15012","361 EAST 163 STREET, 10451","EQ15012_011326052731.pdf","EQ15012_011226013718.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15012_011226013718.pdf"
